Question,Answer,Tag
What is the punishment for alteration,"As per Section 182A (1) Whoever, being a manufacturer, importer or dealer of motor vehicles, sells or delivers or alters or offers to sell or deliver or alter, a motor vehicle that is in contravention of the provisions of Chapter VII or the rules and regulations made thereunder, shall be punishable with imprisonment for a term which may extend to one year, or with fine of one lakh rupees per such motor vehicle or with both.",vehicle
What is the punishment for accident related offences,First Time Rs. 5000 and / or imprisonment of upto 6 months Second Time Rs. 10000 and / or Imprisonment upto 1 year,vehicle
What is the punishment for violation of road rule,Fine of Rs. 500/-,vehicle
What is the punishment for Violations of licensing conditions (Aggregators),Fine of Rs. 25000 to Rs. 1 Lakh,vehicle
What is the punishment for overloading of passengers,Fine of Rs. 1000 per extra passenger,vehicle
What is the punishment for not Providing Way for Emergency Vehicles,"Fine of Rs.10,000 and/or Imprisonment of 6 months",vehicle
What is the punishment for offences by juveniles,"Fine of Rs. Rs.25,000 with Imprisonment of 3 years for which the Guardian / Owner shall be deemed to be guilty.",vehicle
What is the power of Power of Officers to Impound Documents,"Suspension of Driving License Suspension of under Section 183, 184, 185, 189, 190, 194C, 194D, 194E",vehicle
What is the punishment for Offences Committed by Enforcing Officers,Double the Penalty under Relevant Section,vehicle
Can the offence be compounded,Most of the offences can be compounded by paying the amount of fine at the spot.,vehicle
What happens if the challan is not compounded or the person is inclined to contest the challan,In such cases traffic police submits the challan in court.,vehicle
What to do when you do not want to contest the challan,You may authorize somebone to appear before the court and pay the fine to be imposed by the court.,vehicle
What happens if you contest the challan,The case would be send to the criminal court for trial.,vehicle
Is it necessary to take bail,You may have to apply for bail,vehicle
What to do when Motor Vehicle accident happens at your hand,If the person try to escape it may lead to a number of adverse inferences,vehicle
What are the possible sections of IPC under which case will be registered,"Section 279, 337, 338 or 304A of IPC.",vehicle
Are these offences bailable,"Yes, all these offences are bailable",vehicle
What to do when accident happened,"You are required to wait for the arrival of Police. If there is apprehension of thrashing by public, you may straight way go to Police officer or Magistrate to surrender.",vehicle
What happens if you run away,"If you run away, other than legal complications, if the victim is at guilty, you will not be able to notice and collect the evidence.",vehicle
What is the time limit to file appeal under the Motor Vehicle Act,"As per Section 173 of the Act: (1) Subject to the provisions of sub-section (2) any person aggrieved by an award of a Claims Tribunal may, within ninety days from the date of the award, prefer an appeal to the High Court: Provided that no appeal by the person who is required to pay any amount in terms of such award shall be entertained by the High Court unless he has deposited with it twenty-five thousand rupees or fifty per cent. of the amount so awarded, whichever is less, in the manner directed by the High Court: Provided further that the High Court may entertain the appeal after the expiry of the said period of ninety days, if it is satisfied that the appellant was prevented by sufficient cause from preferring the appeal in time. (2) No appeal shall lie against any award of a Claims Tribunal if the amount in dispute in the appeal is less than One Lakh Rupees.",vehicle
Which is the authority to apply for Motor Vehicle accident compensation,"Every application shall be made, at the option of the claimant:to the Claims Tribunal having jurisdiction over the area in which the accident occurred or To the Claims Tribunal within the local limits of whose jurisdiction the claimant resides or carries on business or Within the local limits of whose jurisdiction the defendant resides.",vehicle
What is the guideline of Supreme Court of India for future prospects in case of motor accident victims,"A five-Judge Bench of the Supreme Court while hearing the case ï¿½National Insurance Company Limited v Pranay Sethi' agreed with the view on the standardization of the addition to revenue against future prospects in accordance with Article 168 of the Motor Vehicle Act 1988. It also noted that the concept of ""fair compensation"" should be determined on grounds of fairness, reasonableness and on acceptable legal standards, since such a provision ""can never be in arithmetical exactitude"". The key takeaways from the guidelines are :While the income is determined to follow the doctrine of actual income at the time of death and not to add any amount of future prospects to income for the determination of multiplicand, it would be unfair. The determination of income in the calculation of remuneration must include future prospects so that the method will come into the line of just compensation as mentioned in terms of Section 168 of the Act. An addition of 50% of actual salary to the deceased's income relative to future prospects, where the deceased had a permanent job and was under 40 years old. The addition should be 30% if the age of the deceased was between 40 and 50 years. If the deceased was between the age of 50 and 60, the addition must be 15%. Actual salary must be read as actual salary less tax. If the deceased was self-employed or on a fixed salary, an addition of 40% of the income should be the warrant where the deceased was less than 40 years old. An addition of 25% where the deceased between the ages of 40 to 50 years and 10% where the deceased was between the ages of 50 and 60 should be regarded as the required calculation method. The established income means the income less the tax component.",vehicle
