Question,Answer,Tag
What rights is the seller deemed to have when the seller professes to transfer the property to the buyer?,"The seller is deemed to have accepted the fact that the interest which the seller professes to transfer actually subsists and he has the power to transfer that interest. However, if the property is transferred to the buyer not by the seller but by a person in whom the seller has placed complete confidence with regards the transaction (fiduciary relationship), then that person is deemed to have contracted with the buyer that the seller has not done any act to stop him from making such a transfer and that the property is not encumbered.",property
What are the most important things a buyer must carefully examine while purchasing a property?,The buyer must examine the original documents of the property in question. The buyer must ensure that the property is free from all encumbrances and get a certificate registered in this regard from the office of the sub-registry. The buyer must examine the documents related to power of attorney (POA) if applicable and ensure that the POA was in force during the signing of the sale deed. The buyer must ensure that the seller actually has the right to transfer the property and therefore must figure out the means by which the seller has acquired the property. The said transaction of sale must not be against public policy. The buyer must ensure that the property is free from all kinds of disputes and litigations.,property
What is property registration?,Property registration refers to registration for the purpose of documenting changes in ownership and transactions regarding immovable property with the appropriate authority.,property
Why should property be registered?,"Registration of property results in you becoming the lawful owner of the property, with complete responsibility of it. It helps in dispute redressal and mitigation of any chances of fraud. Further, registration of property is compulsory under section 17 of the Indian Registration Act, 1908.",property
Who can submit the document for registration?,"A deed can be submitted for registration by any of the parties, claiming or executing. However, the executing party must be present at the time of the signing or execution of the deed.",property
Who should be contacted for property registration?,"The Sub-Registrar’s office, which has jurisdiction over the property, should be contacted. Otherwise the District Registrar of your district can also be approached. In Bangalore Urban district, you can get in touch with the Office of the Inspector General of Registratio",property
What are the timings during which property registration can be done?,Registration can be done at all times when the office of the Registrars and Sub-registrars is open. Sub-Registrars can stop accepting the documents one hour before closing time if he has sufficient work with the documents already submitted.,property
"Apart from documents, what else is required for property registration?",Two passport-sized photographs of the person submitting the document are required.,property
"What is the time period, if any, within which registration must be done?","Documents must be registered within a period of four months after execution (signatures) is done. If the signing or execution is done outside India, the four months are counted from the date the receipt reaches India.",property
What if the document is in a language that the Registering Officer can’t understand?,"In such a case, you are required to sign and submit a translated copy along with the original document.",property
Which stamp should be attached?,"If the executant, that is the person signing, is in doubt about which stamp to attach, he can consult the Registering Officer but authentic opinion can be acquired by applying to the Deputy Commissioner under section 31 of the Indian Stamp Act, 1899 or the Karnataka Stamp Act, 1957.",property
Who all are exempt from appearing personally in Court?,Who all are exempt from appearing personally in Court?,property
Can a submitted document be withdrawn?,"It is upon the discretion of the registering officer to permit for withdrawal of the document before the completion of the registration process. A written request has to be made by the party, which had submitted the document. A maximum amount equal to fifty percent of the registration fee is refundable, depending on other expenses like stamp duty, etc.",property
How can property be registered online?,"An application needs to be downloaded online or obtained from the concerned authority, usually the Sub- Registrar of the area. After verification of details, the deed gets drawn and registration is done. This is called the computerized Land and Property Registration system.",property
What is property is not registered at all?,"If property is not registered, then you do not have any transaction rights over it. You will not even be recognized as the owner of the property.",property
What is procedure to apply for succession certificate for immovable property in Indian law? ,You need to approach some lawyer and he will guide you.,property
"If a Foreigner who has some property in India dies intestate or leaving a will which is probated in a foreign country, can the legal heirs directly transfer those properties into their names? ","If a Foreigner dies intestate, who domiciled to a foreign country, the law of the country to which he domiciled to will become the applicable law even though there are many properties in India.

But Indian authorities cannot act upon the court orders of a foreign country and hence it is necessary to get a Succession certificate on the basis of the probate of the will or partition or a court order making partition.

Normally as per Hindu law a will is a title document, if it is not objected to by any other party. Hence a person can claim all his rights on the basis of a will. But in the cases where ""Indian succession Act"" applies, succession certificate becomes necessary.",property
