Question,Answer,Tag
What are the facilities available for a Poor People to file case?,"In order to file or defend any proceeding in court, a person whose annual income does not exceeds Rs.50000'/ (Fifty thousand) is eligible to get free legal aid through District or Taluka Legal Services Authority. Benefits under order XXXIII of Civil procedure Code may also be availed by economically weakers to file or defend any civil proceeding in court. However, prior to it he has to file application seeking permission of the same to do so.",civil
How much time is required to get the result of a case?,"Normally criminal case is expected to be decided within six months. Civil matters are expected to have disposal within three years. However, one can not expect disposal of case within such period of time. It depends upon response from both the parties, pendency of cases before respective court and circumstances of the case.",civil
If some body mischievously files case against me what action should I take.,"In case of criminal matter, you may seek compensation by filing suit for malicious prosecution. However, judgment must contain the findings to the effect that prosecution faced is malicious one. In civil litigation also you may seek compensation. Rules framed by High Court for prevention of Vexatious litigation may also be referred in the civil manual.",civil
To whom a Common man should approach for any help related to court?,"At the first instance Registrar of District Court and Superintendent/Assistant Superintendent in courts at taluka level are the head of ministerial staff to whom common man may approach. He may approach to the Judge of the court in the time prescribed for the same. In addition to this, enquiry counter is available in court on which common man may get required information.",civil
How long will it take for a final Judgment after the Case is filed?,"Normally criminal case is expected to be decided within six months. Civil matters are expected to have disposal within three years. However, one can not expect disposal of case within such period of time. It depends upon response from both the parties, pendency of cases before respective court and circumstances of the case. However, after conclusion of hearing judgment is required to pronounced in courts as early as possible and within15 days and in civil side in no case beyond 2 months, after final arguments are heard. .",civil
Is any standard form available to file a case?,"Yes for civil suit standard form is available. The contents as mentioned in order VIII of CPC are required to be incorporated in the plaint. For criminal complaint other than police, no prescribed format is available. Complaint must contain name of court, date of offence, place of offence, mode of commission of crime and prayer and names of witnesses.",civil
Can I file case from home?,"No. You can file case in court either personally or through advocate/next friend. After 'E' filing facility is made available, this could be avoided.",civil
Can a person know about the history of a case?,"Yes, now a days history of case may be viewed in KIOSK in some of the courts in the State. An attempt to make such facility available in all the courts is being made. The instructions as to how KIOSK ( Touch screen) is to be used are displayed in all the courts where such facility is available. You may also seek such facility.",civil
What is the procedure to get bail?,"One has to file application in court for seeking bail in the crime. Bail in bailable offence is a right . However, in the cases arising out of non bailable offence, court has got discretion either to grant or refuse bail. For detailed clarification, you may refer provisions of section 436, to 439 of Criminal procedure code.",civil
How Can I know the status of my case?,"Yes, now a days status of case may be viewed in KIOSK in some of the courts in the State. An attempt to make such facility available in all the courts is being made. The instructions as to how KIOSK ( Touch screen) is to be used are displayed in all the courts where such facility is available. In addition to this status may be ascertained by contacting Enquiry Counter in the court. Next date of the case may be ascertained even by making telephonic call in some courts where IVRS( Interactive voice response system) is activited. You may also get such information on court web site.",civil
Do I need to remember my case number always?,"It would be better for you to remember number of your case pending in court. However, it is possible to seek history and status of your case alongwith number of the same by name on KIOSK (Touch Screen) and also by approaching enquiry counter in the court.",civil
"In case of death of party, how the case proceeds?","Criminal Case stands abated on the death of person/accused involved. However, death will not absolve any person from civil liability. In the event of death, legal representatives of deceased are to be brought on record. 90 days is the period of limitation for the same.Detailed procedure laid down in order XXII of Civil procedure code is to be followed.",civil
"If I want to make complaint against advocate, where should I approach?",You have to approach State Bar Council for making complaints against Advocate.,civil
How the case proceeds from filing to disposal?,"In case of civil matter, Appearance of other side, Written Statement, Documents , Issues, Settlement of matter, List of witnesses, Evidence, Arguments and Judgment are the stages. In Criminal case, after apperance of accused charge is framed. The prosecution side then will adduce its evidence. After recording statements of accused and hearing arguments judgment will be pronounced. An opportunity of adducing defence evidence will be given to accused if he desires so, after recording statements and before hearing final arguments.",civil
What happens after the case is disposed?,"In criminal case, nothing happens if accused is acquitted. If convicted, he will have to undergo sentence imposed, if bail is not granted. In case of civil suit, a party infavour of whom order/judgment is passed will file execution petition seeking execution of relief granted. Aggrieved party is at liberty to file appeal in competent courts of law both in civil and criminal matters. .",civil
"Although the court has ordered, I am not getting possession of my property? How to get it?",You have to file execution petition in court for getting possession of property.,civil
Can I plead my own case or my relatives case without advocate?,"Yes, there are no provisions in law through which engagement of advocate is compulsory. Person may file or defend any case personally without engaging advocate. You may plead case of your relative in court after securing power of attorney from your relative subject to permission of council of 32 of Advocate Act.",civil
What is contempt of court?,"Contempt is nothing but lowering down prestige of the court. Basically essense of respect towards court is the object behind contempt of courts Act. Concept is defined under sec.2 of the Contempt of Courts Act 1971. Contempts are of two kinds viz. Civil and Criminal. Civil contempt means wilful disobedience to any judgment, decree, direction, order, writ or other process of a court or wilful breach of an undertaking given to a court. Criminal contempt means the publication (whether by words, spoken or written, or by signs, or by visible representations, or otherwise)of any matter or the doing of any other act whatsoever which; scandalises, prejudices or interferes the administration of justice in any other manner. (For better clarification one has to refer the provisios of Section 2 of the Contempt of cours Act.",civil
Is there any alternate means by which my dispute could be speedily resolved?,"Yes Arbitrtion, conciliation, Judicial settlement including settlement through lok adalat or mediation are the alternative modes for getting your dispute duly resolved.",civil
Is there any facility to get speedy result by paying more money or fees?,"No. However matters instituted by or against certain classes of persons, viz. Senior citizens, physically handicapped persons and over 7 years old cases are to be expediated as per the policy formulated by the High Court and Supreme Court. Similarly maintenance / marriage petition / case under section 138 of N.I. Act are to be speedily disposed off.",civil
I am interested to settle the dispute but the opposite party is not willing what should be done?,You may seek guidance of District or taluka Legal Services Authority to attempt for settlement of dispute. You may keep your case in Lok Adalat.,civil
I have heard about loknyayalaya? What is it?,Its a popular forum for getting your dispute duly settled amicably. Lok Nyalaya is organized in each court periodically. The disputes are placed before panel Judges for negotiation with parties. An attempt to get the same amicably settled is made through it.,civil
I want to learn some thing about law and act? How to go about it?,"Truly speaking it is very difficult task to concisely acquaint any body with the concept of law and act. However to define it with few words, we can say that it is rules framed by legislature to regulate various human activities and to maintain law and order in the society.You have to attend various legal literacy camps organized by the courts periodically to know basic knowledge about various laws and Acts. You can learn by reading law books and visiting concern Websites.",civil
How can I avoid my rightful claim being defeated ?,1. Choose a proper forum. 2. Plead all material facts properly. 3. Pay proper court fee. 4. Be deligent in effecting service an opponent in time. 5. Lead best evidence oral and documentary ....,civil
How to recover a debt from an individual?,"Debt recovery from individuals can be a herculean task at times, keeping in mind the nature of day-to-day transactions, lending on friendly basis, oral contracts, lack of documentation, force, fraud etc. However, if you want to recover a debt from an individual it is advisable to hire the best debt recovery lawyers in India to guide you. The measures that are generally taken are:
Legal Notice: Sending a legal notice is the first step you can take to recover your money, thereby informing him legally that he is bound to pay a�certain sum of money with interests in the stipulated time failing which the legal consequences may flow. A standard window for complying to a legal notice is 30 days.
F.I.R: F.I.R. or First Information Report is a criminal complaint against the breaching party. You can lodge an F.I.R. if you wish to initiate criminal proceedings against the person from whom you need to recover the money.
Money Suit: A money suit is an ordinary civil suit before a Court of competent jurisdiction. Here, the aggrieved prays for obtaining the monetary compensation against the�loss caused to him. Money suits are generally treated as a summary suit under Order 37 of the Civil Procedure Code so that the matter is disposed off within 3-4 months.
Insolvency Petition: Insolvency proceedings are initiated by the official Liquidator when all other remedies fail. An aggrieved has to file a petition under Insolvency and Bankruptcy Code. After the matter is adjudicated upon, an official liquidator is appointed by the said court who manages the assets of the insolvent person and liquidates them so that all debts and monies due from the insolvent can be paid off.
Criminal Suit: A criminal suit can be filed under S/406 and Section 420 of Indian Penal Code. A criminal suit can be filed if the amount to be recovered is proportionately high and despite several warnings, the person refuses to pay the amount. A criminal suit is usually the follow-up to an F.I.R. investigation.
 ",civil
Can I file a summary suit for recovery of my money?,"Yes, you can file a summary suit to recover your money as the most effective and appropriate civil remedy available to your case with the help of top debt recovery attorneys in India.
Summary procedure is applicable to recover a debt or liquidated demand in money arising on a written contract. The advantage in filing a summary suit is that the time taken is very less as compared to other procedures. Further, there exists no burden on the part of plaintiff to prove the existence of legally enforceable debt. A burden is placed upon the defendant to disclose the facts sufficient to entitle him to defend in the application for leave to defend.",civil
How to recover a debt from a Company?,"Recovering a debt from a Company is facilitated easily if there exists a legal document. However, the other measures that you can take with the help of good debt recovery lawyers in India are:
Legal Notice: Sending a legal notice is generally the first step in initiation of any proceedings. A legal notice is the first step you can take to recover your money, thereby informing him legally that he is bound to pay  certain sum of money with interests in the stipulated time failing which the legal consequences may flow.
Consumer Protection complaint: You can lodge a complaint for consumer protection in a forum of appropriate jurisdiction for any such case. This is a very unique approach to debt enforcement mechanism as this is applicable only in cases where the aggrieved is a consumer.
Proceedings under Insolvency and Bankruptcy Code: A financial creditor can initiate proceedings under IBC, to recover money when a Company goes into liquidation and assets are sold to discharge liabilities.
Complaint to the Registrar of Companies: The next step an aggrieved can take after the legal notice is to file a complaint with the Registrar of Companies (RoC). The RoC upon receiving the complaint, based on the factual scenario and supporting evidence, sends a show cause notice to the company.
 ",civil
"What is the status of homebuyers under Insolvency and Bankruptcy Code, 2016?","The status of homebuyers under Insolvency and Bankruptcy Code is in the nature of financial creditors. The IBC has been amended so as to change the status of homebuyers and their treatment in bankruptcy cases. The status of financial creditors has been accorded to the homebuyers, with the law being silent about the fact if they are secured or unsecured financial creditors.
This amendment has strengthened the position of homebuyers in cases of debt recovery. Prior to the amendment, homebuyers had no remedy available to them to recover money except to approach a Court of law, where their debt was at the bottom of the priority list. Now, they will be treated at par with the banks and financial institutions as financial creditors. Further, whether the homebuyer is a secured or unsecured creditor is left to be decided on a case-to-case basis.
The onus to prove the category in which the creditor is qualified lies on the homebuyer in accordance with the agreement signed with the real estate company. It is only the secured creditors who will get precedence in payment from the sale of assets when the company gets liquidated.  
  ",civil
Can I file a criminal case against a person who has not repaid my debt in India?,"Yes, you can file a criminal case against the person who has not repaid your loan under Section 420 of the Indian Penal Code i.e. the offence of cheating. The first step in filing of the criminal case is lodging of FIR in the police station of your jurisdiction. Once the investigation is concluded a case can be instituted in a Court of appropriate jurisdiction preceded by a legal notice to the accused. A criminal case acts as an efficient remedy owing to the retributive nature of the punishments and penalty. ",civil
How can banks recover debt from a borrower?,"Recovery of money by banks from the borrower can be done under SARFAESI Act. It involves a two-step process. Firstly, securitisation and reconstruction of financial assets secondly, enforcement of security interest. Whenever, a bank gives financial assistance to a person, the assistance is termed as a loan to the borrow against any security. In case of default of payment by the borrower, a legal notice is served because of existence of security interest for repayment of debt. If the default persists, the security is sold off to Securitisation and Reconstruction Companies (SCOs and RCOs). The bank in turn receives money and its Non-Performing assets or NPAs are converted into liquid money.
The borrower now becomes the borrower of SCOs and RCOs. Further, in a different scenario, banks can even opt for enforcement of security interest in a debt recovery tribunal (DRT). A civil action for recovery of money is taken, wherein after the failure to comply with the legal notice, the Court is entitled to sell the security to recover money and to take other measures for the enforcement of this security interest.",civil
Do I need to send a legal notice before filing a case for recovery of my money?,"Yes, you need to send a legal notice in India before filing a case for recovery of your money either as a civil suit or under DRT or under Indian Penal Code. Legal notice serves as intimidation and notice as to the intention to initiate criminal proceedings against any person. It provides a reasonable opportunity to the person to pay off your debt to escape legal proceedings.
  ",civil
Under which laws can I take an action to recover my money?,"Recovery of money in India can be a very difficult task at times, and deciding as to which law will be applicable even more. Thus, it is advisable that you hire an expert debt recovery lawyer in India to recover your money. The laws applicable are:
Negotiable Instruments Act: It is applicable in cases of dishonour of cheques under Section 138 of the Act or dishonour of any other bill of exchange or promissory note. Legal notice is issues and thereafter proceedings are initiated in case of non-payment.
Code of Civil Procedure: A summary suit for recovery of money can be instituted under Order 37 to ensure speedy disposal of cases.
Indian Penal Code: A case can be lodged under S/420 for Cheating or misappropriation of funds. FIR must be lodged in a police station of appropriate jurisdiction.
SARFAESI: This Act is only applicable to cases of debt recovery by banks or financial institutions to borrowers.
 ",civil
What is Order 37 under Code of Civil Procedure (CPC)?,"Order 37 under CPC relates to the procedure in a summary suit and the litigation. It acts as a boon for the plaintiff in a money recovery suit. The real benefit of an Order 37 Suit is that unless the Defendant is able to demonstrate that he has a substantial defence in his case, the Plaintiff is entitled to a judgment immediately.
This in layman's language means that the stages of filing a Written Statement within 30 days and not later than 90 days, a rejoinder thereafter, admission/denial of documents, framing of issues by Court, leading evidence, cross-examination by parties, final arguments and then finally the judgment/decree, in an ordinary Civil Suit gets eliminated. Thus, the idea behind a summary suit is speedy justice. ",civil
Who are financial creditors under Indian law?,"Section 5(7) of Insolvency and Bankruptcy Code defines financial creditors as any person to whom financial debt is owed. A creditor is any person to whom a debt is owed. A debt is a liability or obligation in respect of a claim, due from any person. An essential part of the term claim is a right to payment, or a right to remedy for breach of contract, which gives rise to a right to payment. To be considered a creditor of the corporate debtor, therefore, a right to payment is essential.
A secured creditor is generally a bank or other asset-based lender that holds a fixed or floating charge over a business asset or assets. When a business becomes insolvent, sale of the specific asset over which security is held provides repayment for this category of creditor. Unsecured creditors can include suppliers, customers, HMRC and contractors. They rank after secured and preferential creditors in an insolvency situation. ",civil
Where should I file a case for debt recovery in India?,"The forum where you should file your case depends on the kind of action you wish to take.
NCLT: You can file a case under NCLT where the debtor is a corporation undergoing liquidation and your debts are not cleared by them.
DRT: Any debt can be recovered by filing a case in the Debt Recovery Tribunal of appropriate jurisdiction
Civil Court: A summary suit under Order 37 of Code of Civil Procedure can be filed for recovery of money due to the borrower with the help of best debt recovery lawyers in India. Summary suit is generally disposed off in a very short span of time discharging the debts and claims.
Criminal Court: A suit can be filed under S/406 or S/420 of Indian Penal Code, for cheating or misappropriation of money in a Court of competent jurisdiction to ensure that the debts are discharged.
 ",civil
What is a summary suit?,"Summary suit is a legal procedure used for enforcing a right that takes effect faster and more efficiently than ordinary methods. Its object is to summarise the procedure of suits in case the defendant is not having any defence. A summary suit can be instituted in High Courts, City Civil Courts, Courts of Small Causes and any other court notified by the High Court. High Courts can restrict, enlarge or vary the categories of suits to be brought under this order.
A summary suit is instituted by presenting a plaint in an appropriate civil court. Summary procedure is applicable to recover a debt or liquidated demand in money arising on a written contract, an enactment or on a guarantee. Under summary procedures, the defendant has to get the leave to defend from the court. A burden is placed upon the defendant to disclose the facts sufficient to entitle him to defend in the application for leave to defend.� ",civil
What legal action can I take to recover a debt in India?,"You can take both civil and criminal action to recover your money with the help of expert debt recovery advocates. You can also opt for outside Court settlements.
Civil remedies: It includes sending notice to the debtor and filing a complaint to initiate civil proceedings under Negotiable Instruments Act, Civil Procedure Code or Insolvency and Bankruptcy Code.
Criminal remedies: The first step to obtain a criminal remedy is to lodge a F.I.R. in a police station of appropriate jurisdiction.Once sufficient evidence has been gathered on record, a criminal suit can be initiated under Indian Penal Code for quick disposal of matter.
Outside Court Settlements: For high monetary value contracts, the best way is to settle differences and cut off loses through alternative dispute mechanisms such as Arbitration or Mediation. This is a method which is most effective against corporates as the matter can be resolved very expeditiously without furthering the loses they'd normally have to bear without having to resort to the tedious court process.
 ",civil
What documents are required to prove my debt to a person?,"Any document evidencing the grant of money from you to any other person is enough to prove the debt. Any document, contract, message, telephonic conversation, mail or post can serve as a proper evidence in Court of law to prove your debt. Any witness or any other circumstance arising from the consequence of such debt can also help you prove the debt. Bank account transactions, promissory notes, a contract or other payments so made serve as legal evidences of the lending of such money.
A good debt recovery advocate in India can help you better in establishing your case in a Court of law. ",civil
What is the limitation period to file a civil suit for recovery of money?,The limitation period to file a civil suit for recovery of money is 3 years from the date of the last payment made or the acknowledgment of debt by the debtor. A civil suit acts as an effective remedy to recover money. The civil suit is generally in the nature of a summary suit wherein the burden of proof is not to prove the debt thus cutting down the bulk of legal proceedings. It is necessary for a suit for recovery of money to be disposed off expeditiously. ,civil
What is legal aid?,"Legal aid is the provision of assistance to people otherwise unable to afford legal representation and access to the court system. Legal aid is regarded as central in providing access to justice by ensuring equality before the law, the right to counsel and the right to a fair trial.",civil
What is pro bono?,Pro bono is a Latin word that stands for “public good”. It refers to free provision of services in order to safeguard public interest. In legal parlance it refers to discharge of free legal aid by legal practitioners.,civil
Does our constitution provide for legal aid?,"Yes. Article 39A of the Constitution of India provides that State shall secure that the operation of the legal system promotes justice on a basis of equal opportunity, and shall in particular, provide free legal aid, by suitable legislation or schemes or in any other way, to ensure that opportunities for securing justice are not denied to any citizen by reason of economic or other disability.",civil
Who is eligible for legal aid?,"(a) A member of a Scheduled Caste or Scheduled Tribe
(b) A victim of trafficking in human beings or begar as referred to in Article 23 of the Constitution
(c) A woman or a child
(d) A mentally ill or otherwise disabled person
(e) A person under circumstances of undeserved want such as being a victim of a mass disaster, ethnic violence, caste atrocity, flood, drought, earthquake or industrial disaster
(f) An industrial workman",civil
What is NALSA?,"NALSA is short for The National Legal Services Authority which has been constituted under the Legal Services Authorities Act, 1987.",civil
What is the main purpose of NALSA?,The NALSA issues guidelines for the State Legal Services Authorities to implement the Legal Aid Programmes and schemes throughout the country.,civil
What is KSLSA?,"Karnataka State Legal Services Authority (KSLSA) is a Statutory Body constituted under a Central Legislation Legal Services Authorities Act, 1987.",civil
What are law school based legal aid clinics?,"The bar council of India mandates each legal education institution to establish and run a Legal Aid Clinic under the supervision of a Senior Faculty Member who may administer the Clinic run by the Final year students of the Institution in cooperation with the Legal Aid Authorities with list of voluntary lawyers and other Non-Government Organizations engaged in this regard in the locality generally from which the student community of the Institution, hail from.",civil
